Shimmer_B640_Timestamp_Unix_CAL,Shimmer_B640_Accel_LN_X_CAL,Shimmer_B640_Accel_LN_Y_CAL,Shimmer_B640_Accel_LN_Z_CAL,Shimmer_B640_GSR_CAL,Shimmer_B640_PPGToHR_PPG_A13_CAL,Shimmer_B640_PPG_A13_CAL
ms,m/(s^2),m/(s^2),m/(s^2),kOhms,BPM,mV
1.43507E+12,6.120481928,-0.228915663,7.722891566,1259.624476,-1,1575.824176
1.43507E+12,6.156626506,-0.21686747,7.722891566,1260.348088,-1,1563.369963
1.43507E+12,6.180722892,-0.228915663,7.722891566,1260.348088,-1,1550.18315
1.43507E+12,6.168674699,-0.228915663,7.734939759,1260.348088,-1,1535.531136
1.43507E+12,6.144578313,-0.180722892,7.734939759,1259.624476,-1,1520.14652
1.43507E+12,6.156626506,-0.228915663,7.746987952,1260.348088,-1,1503.296703
1.43507E+12,6.156626506,-0.204819277,7.746987952,1259.624476,-1,1484.981685
1.43507E+12,6.156626506,-0.204819277,7.734939759,1259.624476,-1,1464.468864
1.43507E+12,6.180722892,-0.21686747,7.722891566,1260.348088,-1,1444.688645
1.43507E+12,6.192771084,-0.228915663,7.722891566,1259.624476,-1,1421.978022
1.43507E+12,6.168674699,-0.21686747,7.710843373,1259.624476,-1,1400
1.43507E+12,6.156626506,-0.228915663,7.746987952,1260.348088,-1,1381.684982
1.43507E+12,6.156626506,-0.21686747,7.722891566,1259.624476,-1,1364.102564
1.43507E+12,6.144578313,-0.21686747,7.734939759,1259.624476,-1,1345.787546
1.43507E+12,6.144578313,-0.228915663,7.734939759,1259.624476,-1,1327.472527
1.43507E+12,6.13253012,-0.240963855,7.746987952,1259.624476,-1,1310.622711
1.43507E+12,6.13253012,-0.228915663,7.734939759,1260.348088,-1,1295.238095
1.43507E+12,6.156626506,-0.228915663,7.722891566,1260.348088,-1,1283.516484
1.43507E+12,6.156626506,-0.21686747,7.710843373,1259.624476,-1,1274.725275
1.43507E+12,6.144578313,-0.21686747,7.734939759,1260.348088,-1,1267.399267
1.43507E+12,6.180722892,-0.204819277,7.710843373,1260.348088,-1,1261.538462
1.43507E+12,6.168674699,-0.228915663,7.746987952,1260.348088,-1,1256.410256
1.43507E+12,6.180722892,-0.240963855,7.746987952,1259.624476,-1,1251.282051
1.43507E+12,6.156626506,-0.228915663,7.722891566,1260.348088,-1,1246.153846
1.43507E+12,6.156626506,-0.21686747,7.746987952,1260.348088,-1,1241.758242
1.43507E+12,6.156626506,-0.204819277,7.722891566,1261.072532,-1,1238.827839
1.43507E+12,6.156626506,-0.21686747,7.722891566,1260.348088,-1,1235.897436
1.43507E+12,6.180722892,-0.21686747,7.710843373,1260.348088,-1,1235.164835
1.43507E+12,6.168674699,-0.228915663,7.710843373,1260.348088,-1,1238.095238
1.43507E+12,6.156626506,-0.253012048,7.734939759,1260.348088,-1,1241.758242
1.43507E+12,6.156626506,-0.228915663,7.734939759,1260.348088,-1,1245.421245
1.43507E+12,6.144578313,-0.240963855,7.746987952,1261.072532,-1,1250.549451
1.43507E+12,6.13253012,-0.228915663,7.746987952,1260.348088,-1,1253.479853
1.43507E+12,6.156626506,-0.21686747,7.734939759,1260.348088,-1,1252.747253
1.43507E+12,6.168674699,-0.204819277,7.734939759,1260.348088,-1,1250.549451
1.43507E+12,6.144578313,-0.228915663,7.734939759,1261.072532,-1,1246.153846
1.43507E+12,6.156626506,-0.240963855,7.734939759,1261.072532,-1,1241.758242
1.43507E+12,6.156626506,-0.228915663,7.710843373,1261.072532,-1,1238.095238
1.43507E+12,6.168674699,-0.21686747,7.710843373,1260.348088,-1,1233.699634
1.43507E+12,6.168674699,-0.240963855,7.734939759,1261.072532,-1,1232.234432
1.43507E+12,6.168674699,-0.21686747,7.734939759,1261.072532,-1,1227.838828
1.43507E+12,6.180722892,-0.204819277,7.734939759,1260.348088,-1,1225.641026
1.43507E+12,6.13253012,-0.21686747,7.734939759,1261.072532,-1,1224.175824
1.43507E+12,6.120481928,-0.21686747,7.734939759,1261.072532,-1,1221.245421
1.43507E+12,6.156626506,-0.21686747,7.722891566,1261.072532,-1,1216.117216
1.43507E+12,6.192771084,-0.21686747,7.734939759,1261.072532,-1,1210.989011
1.43507E+12,6.168674699,-0.21686747,7.710843373,1261.072532,-1,1204.395604
1.43507E+12,6.144578313,-0.228915663,7.698795181,1261.072532,-1,1194.871795
1.43507E+12,6.13253012,-0.228915663,7.759036145,1261.072532,-1,1186.813187
1.43507E+12,6.168674699,-0.228915663,7.710843373,1261.79781,-1,1178.021978
1.43507E+12,6.156626506,-0.228915663,7.722891566,1261.072532,-1,1172.161172
1.43507E+12,6.13253012,-0.228915663,7.746987952,1261.072532,-1,1164.102564
1.43507E+12,6.13253012,-0.21686747,7.722891566,1261.79781,-1,1156.776557
1.43507E+12,6.13253012,-0.228915663,7.746987952,1260.348088,-1,1150.915751
1.43507E+12,6.168674699,-0.21686747,7.746987952,1261.072532,-1,1144.322344
1.43507E+12,6.144578313,-0.204819277,7.734939759,1261.072532,-1,1141.391941
1.43507E+12,6.144578313,-0.21686747,7.734939759,1261.79781,-1,1142.124542
1.43507E+12,6.168674699,-0.228915663,7.734939759,1261.072532,-1,1145.054945
1.43507E+12,6.168674699,-0.240963855,7.722891566,1260.348088,-1,1147.252747
1.43507E+12,6.180722892,-0.240963855,7.722891566,1261.072532,-1,1149.450549
1.43507E+12,6.168674699,-0.228915663,7.710843373,1261.79781,-1,1150.915751
1.43507E+12,6.144578313,-0.228915663,7.722891566,1261.072532,-1,1150.915751
1.43507E+12,6.144578313,-0.240963855,7.722891566,1261.072532,-1,1153.846154
1.43507E+12,6.168674699,-0.228915663,7.746987952,1261.072532,-1,1154.578755
